molecule_chembl_id,bioactivity_class,standard_value,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL4756849,intermediate,1522.0,Oc1ccc(CNC2CCN(Cc3ccccc3)C2)c(O)c1,298.386,2.461900000000001,3.0,4.0
CHEMBL4784203,inactive,10000.0,Cc1cccc(CNC2CCN(Cc3ccccc3)C2)c1,280.415,3.3591200000000025,1.0,2.0
CHEMBL4763724,intermediate,6392.0,Cc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,280.415,3.3591200000000025,1.0,2.0
CHEMBL4796846,active,741.0,O=[N+]([O-])c1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,311.38500000000005,2.9589000000000016,1.0,4.0
CHEMBL4761542,active,128.0,FC(F)(F)c1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,334.38500000000005,4.069500000000003,1.0,2.0
CHEMBL4793341,active,58.0,FC(F)(F)Oc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,350.384,3.9493000000000027,1.0,3.0
CHEMBL4760651,active,178.0,Clc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,300.833,3.704100000000002,1.0,2.0
CHEMBL4749704,active,149.0,Fc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,284.37800000000004,3.1898000000000017,1.0,2.0
CHEMBL4741398,active,133.0,Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,345.284,3.813200000000003,1.0,2.0
CHEMBL4752715,active,69.0,Fc1ccc(CNC2CCN(Cc3ccccc3)C2)c(F)c1,302.36800000000005,3.3289000000000026,1.0,2.0
CHEMBL4763981,active,153.25,O=C(CCCCCN1CCC2c3ccccc3NC2C1)Nc1ccc(/C=C2\CCn3c2nc2ccccc2c3=O)cc1,559.7140000000004,6.123300000000006,2.0,6.0
CHEMBL4781157,active,98.3,O=C(CCCCN1CCC2c3ccccc3NC2C1)Nc1ccc(/C=C2\CCn3c2nc2ccccc2c3=O)cc1,545.6870000000004,5.733200000000005,2.0,6.0
CHEMBL4757466,active,9.75,O=C(CCN1CCC2c3ccccc3NC2C1)Nc1ccc(/C=C2\CCn3c2nc2ccccc2c3=O)cc1,517.6330000000004,4.953000000000004,2.0,6.0
CHEMBL4750451,active,10.72,O=C(CCCCCN1CCC2c3ccccc3NC2C1)Oc1ccc(/C=C2\CCn3c2nc2ccccc2c3=O)cc1,560.6980000000004,6.0902000000000065,1.0,7.0
